customer_id;client_name;email_address;phone_number;registration_date;date_of_birth;sex;address;city;state;customer_category
1;Cobbie Crackett;ccrackett0@scientificamerican.com;833-662-1463;2021-03-13;1996-10-08;Male;58 Florence Way;Madīnat Ḩamad;;new
2;Rianon Jaquet;rjaquet1@xinhuanet.com;153-712-5740;2018-11-08;1972-11-11;Female;478 Anniversary Junction;Balakhta;;regular
3;Upton Driffill;udriffill2@go.com;734-247-9429;2010-05-06;2003-04-05;Male;8 Dexter Road;Shancheng;;VIP
4;Corenda Withringten;cwithringten3@stumbleupon.com;695-445-0470;2016-07-30;1998-10-03;Female;86 Bobwhite Hill;Little Current;Ontario;new
5;Brett Heinish;bheinish4@squarespace.com;755-447-4251;2020-06-13;1978-10-20;Male;4037 Melrose Park;Oxelösund;Södermanland;VIP
6;Towny Rive;trive5@dion.ne.jp;556-229-5063;2015-09-28;1961-03-20;Male;0 Evergreen Hill;Karangpeton;;regular
7;Henry Beckers;hbeckers6@people.com.cn;442-276-3107;2018-11-22;1993-06-29;Male;9551 Duke Hill;Laironja;;new
8;Tamas Gellibrand;tgellibrand7@chron.com;689-184-9154;2021-06-08;1965-02-20;Male;89 Thierer Crossing;Ljungskile;Västra Götaland;new
9;Michaella McCoish;mmccoish8@nbcnews.com;949-105-1273;2014-02-02;1966-07-18;Polygender;55283 Lakewood Gardens Parkway;Mujiangping;;regular
10;Murray Stealy;mstealy9@freewebs.com;342-932-4766;2011-05-16;2004-04-17;Male;9952 Union Street;Mosty;;regular
11;Dawna Cawker;dcawkera@skype.com;241-467-6719;2020-01-07;1975-12-09;Female;36 Forster Avenue;Jindong;;regular
12;Daisie Bockman;dbockmanb@creativecommons.org;794-182-0995;2018-04-06;1974-08-29;Female;199 Drewry Court;Tangzang;;VIP
13;Marjie Layman;mlaymanc@shop-pro.jp;215-223-0353;2012-05-17;1991-10-13;Female;7 Cascade Drive;Catungawan Sur;;VIP
14;Janos Cordner;jcordnerd@oaic.gov.au;240-584-8731;2022-04-24;1974-09-09;Polygender;25 Sommers Point;Rogóźno;;VIP
15;Odey Smedmore;osmedmoree@dmoz.org;669-390-4842;2017-06-27;1966-02-20;Male;40 Becker Trail;Kanigorokrajan;;new
16;Barri Faussett;bfaussettf@ucla.edu;870-766-4646;2016-07-27;1951-02-24;Male;22 Mandrake Trail;Uzda;;regular
17;Kaine Vaillant;kvaillantg@theguardian.com;274-195-2065;2019-10-05;1975-10-16;Polygender;2 Division Terrace;Batuna Satu;;VIP
18;Hasty Semon;hsemonh@jigsy.com;271-756-8516;2017-01-26;1986-11-17;Male;5009 Hallows Crossing;Lüjiabao;;new
19;Silvanus Pedrol;spedroli@de.vu;424-378-0913;2010-04-29;1989-03-15;Male;60 Birchwood Plaza;Forshaga;Värmland;VIP
20;Dale Glasscoo;dglasscooj@prlog.org;422-364-2324;2014-02-01;1951-02-08;Female;20418 Delaware Crossing;Jintang;;VIP
21;Timofei Gwatkin;tgwatkink@springer.com;877-340-6072;2021-09-19;1985-01-31;Male;03 Oakridge Street;L'Épiphanie;Québec;regular
22;Benn Anderton;bandertonl@reverbnation.com;181-487-9553;2010-07-22;1962-07-19;Male;5 Kensington Street;Ngulahan;;VIP
23;Godfrey Nornable;gnornablem@ftc.gov;876-256-0731;2012-07-20;1957-02-19;Male;831 Tony Lane;Jiaxing;;new
